T	a2
 0.00000	 0.00000
 1.93368	 0.29995
 1.93368	 0.29995
 1.93368	 0.29995
 1.93368	 0.29995
 1.93368	 0.41608
 1.93368	 0.38208
 1.93368	 0.37615
 1.93368	 0.37615
 1.93368	 0.37615
 1.93368	 0.28812
 1.93368	 0.28795
 1.93368	 0.28795
 1.93368	 0.29252
 1.93368	 0.29252
 1.93368	 0.29252
 1.93368	 0.29255
 1.93368	 0.29255
 1.93368	 0.29255
 1.93368	 0.29984
 1.93368	 0.30016
 1.93368	 0.29902
 1.93368	 0.29902
 1.93368	 0.29902
 1.93368	 0.30433
 1.93368	 0.30352
 1.93368	 0.30352
 1.93368	 0.29604
 1.93368	 0.29751
 1.93368	 0.29646
 1.93368	 0.29796
 1.93368	 0.28367
 1.93368	 0.11882
 1.93368	 0.11882
 1.93368	 0.11987
 1.93368	 0.11940
 1.93368	 0.05349
 1.93368	 0.05349
 1.93368	 0.05349
 1.93368	 0.14310
 1.93368	 0.14310
 1.93368	 0.07756
 1.93368	 0.07756
 1.93368	 0.07756
 1.93368	 0.07689
 1.93368	 0.07689
 1.93368	 0.10386
 1.93368	 0.10386
 1.93368	 0.10386
 1.93368	 0.10386
 1.93368	 0.00351
 1.93368	 0.00351
 1.93368	 0.00215
 1.93368	 0.00215
 1.93368	 0.00215
 1.93368	-0.01208
 1.93368	-0.01208
 1.93368	-0.01208
 1.93368	-0.01208
 1.93368	-0.01208
 1.93368	-0.01482
 1.93368	-0.01482
 1.93368	-0.02105
 1.93368	 0.02751
 1.93368	 0.02754
 1.93368	 0.02754
 1.93368	-0.11558
 1.93368	-0.17399
 1.93368	-0.21065
 1.93368	-0.20825
 1.93368	-0.20668
 1.93368	-0.20668
 1.93368	-0.20913
 1.93368	-0.20913
 1.93368	-0.20913
 1.93368	-0.20913
 1.93368	-0.20951
 1.93368	-0.20951
 1.93368	-0.20951
 1.93368	-0.20951
 1.93368	-0.20951
 1.93368	-0.20951
 1.93368	-0.20951
 1.93368	-0.19676
 1.93368	-0.19676
 1.93368	-0.19752
 1.93368	-0.19839
 1.93368	-0.19839
 1.93368	-0.21046
 1.93368	-0.20242
 1.93368	-0.26433
 1.93368	-0.26433
 1.93368	-0.26433
 1.93368	-0.27042
 1.93368	-0.27042
 1.93368	-0.27042
 1.93368	-0.27042
 1.93368	-0.27735
 1.93368	-0.27735
 1.93368	-0.27597
 1.93368	-0.27597
 1.93368	-0.27597
 1.93368	-0.27597
 1.93368	-0.27597
 1.93368	-0.27597
 1.93368	-0.27265
 1.93368	-0.27265
 1.93368	-0.27265
 1.93368	-0.28483
 1.93368	-0.24899
 1.93368	-0.23820
 1.93368	-0.23820
 1.93368	-0.24601
 1.93368	-0.24631
 1.93368	-0.24631
 1.93368	-0.24631
 1.93368	-0.24562
 1.93368	-0.24562
 1.93368	-0.24562
 1.93368	-0.24059
 1.93368	-0.24059
 1.93368	-0.23026
 1.93368	-0.23026
 1.93368	-0.25657
 1.93368	-0.24890
 1.93368	-0.24890
 1.93368	-0.21269
 1.93368	-0.21269
 1.93368	-0.21269
 1.93368	-0.22670
 1.93368	-0.18206
 1.93368	-0.18206
 1.93368	-0.18206
 1.93368	-0.18206
 1.93368	-0.17532
 1.93368	-0.17532
 1.93368	-0.16723
 1.93368	-0.16723
 1.93368	-0.16723
 1.93368	-0.16578
 1.93368	-0.16578
 1.93368	-0.15172
 1.93368	-0.15172
 1.93368	-0.20686
 1.93368	-0.16914
 1.93368	-0.16914
 1.93368	-0.16259
 1.93368	-0.16259
 1.93368	-0.16259
 1.93368	-0.15331
 1.93368	-0.02377
 1.93368	-0.02377
 1.93368	-0.02377
 1.93368	-0.02377
 1.93368	-0.01353
 1.93368	-0.01391
 1.93368	 0.00673
 1.93368	 0.00448
 1.93368	 0.00448
 1.93368	 0.00717
 1.93368	 0.00717
 1.93368	 0.00359
 1.93368	 0.00359
 1.93368	 0.00359
 1.93368	 0.00359
 1.93368	 0.00728
 1.93368	 0.00728
 1.93368	 0.00592
 1.93368	 0.00592
 1.93368	 0.02424
 1.93368	 0.01537
 1.93368	 0.01537
 1.93368	 0.00370
 1.93368	-0.00037
 1.93368	-0.00037
 1.93368	-0.00037
 1.93368	-0.00037
 1.93368	 0.00004
 1.93368	-0.00226
 1.93368	-0.00226
 1.93368	-0.00226
 1.93368	-0.00302
 1.93368	-0.00302
 1.93368	-0.00302
 1.93368	-0.00374
 1.93368	 0.05373
 1.93368	 0.05373
 1.93368	 0.05373
 1.93368	 0.05373
 1.93368	 0.05675
 1.93368	 0.05613
 1.93368	-0.05205
 1.93368	-0.05205
 1.93368	-0.05205
 1.93368	-0.05205
 1.93368	-0.05205
 1.93368	-0.03959
 1.93368	-0.04798
 1.93368	-0.04798
 1.93368	-0.04798
 1.93368	-0.04798
 1.93368	-0.05376
 1.93368	-0.05559
 1.93368	-0.04401
 1.93368	-0.04401
 1.93368	-0.04401
 1.93368	-0.04401
 1.93368	-0.04645
 1.93368	-0.04645
 1.93368	-0.08996
 1.93368	-0.08976
 1.93368	-0.08976
 1.93368	-0.13133
 1.93368	-0.13133
 1.93368	-0.07343
 1.93368	-0.07343
 1.93368	-0.07343
 1.93368	-0.07343
 1.93368	-0.10136
 1.93368	-0.10135
 1.93368	-0.08542
 1.93368	-0.08344
 1.93368	-0.13103
 1.93368	-0.15326
 1.93368	-0.15364
 1.93368	-0.15526
 1.93368	-0.15526
 1.93368	-0.15526
 1.93368	-0.15526
 1.93368	-0.10488
 1.93368	-0.10605
 1.93368	 0.02749
 1.93368	 0.07081
 1.93368	 0.07081
 1.93368	 0.07081
 1.93368	 0.07180
 1.93368	 0.07180
 1.93368	 0.04927
 1.93368	 0.04817
 1.93368	 0.04817
 1.93368	 0.04817
 1.93368	 0.04817
 1.93368	 0.04817
 1.93368	 0.06605
 1.93368	 0.06947
 1.93368	 0.06947
 1.93368	 0.08099
 1.93368	 0.08099
 1.93368	 0.08099
 1.93368	 0.08099
 1.93368	 0.14418
 1.93368	 0.14418
 1.93368	 0.14418
 1.93368	 0.04289
 1.93368	 0.04289
 1.93368	 0.04289
 1.93368	 0.04289
 1.93368	 0.03966
 1.93368	 0.03966
 1.93368	 0.03341
 1.93368	-0.01772
 1.93368	-0.01772
 1.93368	-0.01827
 1.93368	-0.01827
 1.93368	-0.03284
 1.93368	-0.05456
 1.93368	-0.05665
 1.93368	-0.05665
 1.93368	-0.05874
 1.93368	-0.06691
 1.93368	-0.06691
 1.93368	-0.06691
 1.93368	-0.06759
 1.93368	-0.06904
 1.93368	-0.06985
 1.93368	-0.06985
 1.93368	-0.07174
 1.93368	-0.07174
 1.93368	-0.07174
 1.93368	-0.07150
 1.93368	-0.05186
 1.93368	-0.05186
 1.93368	-0.05186
 1.93368	-0.05186
 1.93368	-0.05186
 1.93368	-0.05806
 1.93368	-0.05806
 1.93368	-0.05984
 1.93368	-0.07613
 1.93368	-0.07613
